#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# /Users/friedman1/idl/sn/text/00_bayesn_fixed_metadata.txt
# Created by User : friedman1
# On Machine      : multiverse.mit.edu
# On Date         : Wed Mar  2 17:35:14 EST 2016
# From IDL Script : ~/Desktop/CfAIR2_paper/bayesn_metadata.pro
# With IDL Script : /Users/friedman1/idl/sn/write_array_file.pro
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Header 
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#snname           type   RA          DEC            RA_sex        DEC_sex      lII         bII          z_helio        z_err   z_cmb          E(B-V)   dE(B-V)   Av_gal   Gal_Name                     Morph                TBmax      dTBmax   TBmax_est   Av_mlcs   dAv     Rv_mlcs   dRv    Delta    dDelta   mu_mlcs   dmu     Comments                                                                    
sn2011df          Ia     291.89000   54.386500      19h27m33.6s   +54d23m11s   86.004863   16.819383    0.014547000    0.001   0.014025972    0.1313   0.0040    0.4069   NGC_6801                     SAcd                 55716.08   0.41     -999        0.083     0.069   2.98      0.26   -0.157   0.070    34.475    0.095   2015-Jun-05_21:40:02_(grid)_good_fit_(0.0809_<_3.0000000)_sn2011df          
sn2011by          Ia     178.94000   55.326100      11h55m45.6s   +55d19m34s   138.84136   60.049167    0.0028430000   0.001   0.0034054081   0.0140   0.0003    0.0433   NGC_3972                     SA(s)bc              55690.60   0.15     -999        0.447     0.116   3.05      0.35   -0.007   0.046    32.071    0.118   2015-Jun-05_22:01:28_(grid)_good_fit_(1.1245_<_3.0000000)_sn2011by          
sn2011at          Ia     142.24000   -14.805700     09h28m57.6s   -14d48m21s   247.09398   25.429337    0.0067580000   0.001   0.0078658829   0.0691   0.0019    0.2142   MCG_-2-24-27                 SB(s)d               55635      5        55635       0.675     0.236   3.02      0.34   0.321    0.398    32.434    0.632   tbmax_CfA5_CBET_2676_MLCS_larger_error                                      
sn2011ao          Ia     178.46300   33.362900      11h53m51.0s   +33d21m46s   182.79422   76.106604    0.010694000    0.001   0.011620159    0.0202   0.0002    0.0626   IC_2973                      SB(s)d?              55638.26   0.15     -999        0.596     0.107   2.86      0.30   -0.157   0.037    33.479    0.113   2015-Jun-05_22:03:27_(grid)_good_fit_(0.7888_<_3.0000000)_sn2011ao          
sn2011ae          Ia     178.70500   -16.862100     11h54m49.2s   -16d51m44s   283.97427   43.915589    0.0060460000   0.001   0.0072447598   0.0570   0.0025    0.1767   MCG_-3-30-19                 SAB(s)cd?            55619      3        55619       0.528     0.154   3.02      0.34   -0.235   0.063    32.458    0.153   tbmax_CfA5_CBET_2658_MLCS_larger_error                                      
sn2011K           Ia     71.376500   -7.3479720     04h45m30.4s   -07d20m53s   204.70047   -31.284811   0.014500000    0.001   0.014378473    0.1026   0.0053    0.3180   CSS_J044530.38-072054.7      Anon                 55578      3        55578       0.107     0.098   2.98      0.26   -0.138   0.076    34.448    0.120   tbmax_CfA5_CBET_2636_MLCS_larger_error                                      
sn2011B           Ia     133.95200   78.217417      08h55m48.5s   +78d13m03s   134.92504   32.699270    0.0046800000   0.001   0.0047405181   0.0309   0.0013    0.0957   NGC_2655                     SAB(s)0/a            55582.92   0.13     -999        0.567     0.118   3.04      0.35   0.142    0.054    31.717    0.123   2015-Jun-05_22:11:44_(grid)_good_fit_(0.4689_<_3.0000000)_sn2011B           
sn2010kg          Ia     70.035000   7.3500000      04h40m08.4s   +07d21m00s   189.62802   -24.843077   0.016632000    0.001   0.016443693    0.1555   0.0026    0.4819   NGC_1633                     SAB(s)ab             55543.48   0.13     -999        0.458     0.150   2.95      0.32   0.281    0.069    34.247    0.132   2015-Jun-05_22:05:53_(grid)_good_fit_(0.6879_<_3.0000000)_sn2010kg          
sn2010jv          Ia     111.86000   33.811611      07h27m26.5s   +33d48m42s   184.95198   21.680122    0.013469000    0.001   0.013953746    0.0569   0.0007    0.1764   NGC_2379                     SA0?                 55516      3        55516       -999      -999    -999      -999   -999     -999     -999      -999    tbmax_CBET_2550                                                             
sn2010ju          Ia     85.483200   18.497500      05h41m56.0s   +18d29m51s   188.48211   -6.1649748   0.015244000    0.001   0.015347738    0.4194   0.0019    1.3002   UGC_3341                     SBab                 55523.80   0.44     -999        0.951     0.258   2.87      0.30   0.054    0.110    34.038    0.176   2015-Jun-05_22:06:32_(grid)_good_fit_(0.7031_<_3.0000000)_sn2010ju          
sn2010iw          Ia     131.31200   27.822722      08h45m15.0s   +27d49m22s   196.91191   36.002793    0.021498000    0.001   0.022298784    0.0549   0.0007    0.1702   UGC_4570                     SABdm                55492      6        55492       0.157     0.108   3.06      0.36   -0.169   0.056    35.090    0.130   tbmax_CfA5_CBET_2511                                                        
sn2010gn          Ia     259.45830   40.881200      17h17m50.1s   +40d52m53s   65.637877   34.450246    0.036500000    0.001   0.036378090    0.0304   0.0005    0.0943   SDSS_J171750.05+405252.5     Anon                 55399      3        55399       0.099     0.077   2.98      0.26   0.023    0.099    36.314    0.120   tbmax_CfA5_CBET_2386_MLCS_larger_error                                      
sn2010ex          Ia     345.04500   26.099222      23h00m10.9s   +26d05m57s   93.859543   -30.417431   0.022812000    0.001   0.021644198    0.0758   0.0118    0.2351   CGCG_475-019                 Anon                 55386      3        55386       -999      -999    -999      -999   -999     -999     -999      -999    tbmax_CBET_2353                                                             
sn2010ew          Ia     279.29900   30.630444      18h37m11.9s   +30d37m50s   59.479618   16.253273    0.025501000    0.001   0.025040629    0.1797   0.0047    0.5570   CGCG_173-018                 Anon                 55379      3        55379       -999      -999    -999      -999   -999     -999     -999      -999    tbmax_CBET_2356                                                             
sn2010dw          Ia     230.66700   -5.9210830     15h22m40.3s   -05d55m16s   356.49470   40.720332    0.038120000    0.001   0.038696746    0.0933   0.0011    0.2892   2MASX_J15224062-0555214      Anon                 55357.75   0.65     -999        0.294     0.166   3.06      0.36   -0.146   0.088    36.450    0.175   2015-Jun-07_13:28:42_(grid)_good_fit_(0.1541_<_3.0000000)_sn2010dw          
snPTF10icb        Ia     193.70500   58.881889      12h54m49.8s   +58d52m56s   122.10179   58.241058    0.0086060000   0.001   0.0090492480   0.0118   0.0008    0.0367   CGCG_293-042                 Anon                 55360      3        55360       -999      -999    -999      -999   -999     -999     -999      -999    tbmax_parrent11                                                             
sn2010dl          Ia     323.75400   -0.51327700    21h35m01.0s   -00d30m48s   53.956733   -35.923676   0.030034000    0.001   0.028915506    0.0383   0.0014    0.1187   IC_1391                      Anon                 55341      3        55341       -999      -999    -999      -999   -999     -999     -999      -999    tbmax_CBET_2298                                                             
sn2010cr          Ia     202.35400   11.796222      13h29m25.0s   +11d47m46s   334.94232   72.264968    0.021570000    0.001   0.022532047    0.0345   0.0014    0.1070   NGC_5177                     S0                   55315      3        55315       0.276     0.225   2.97      0.26   1.429    0.168    34.575    0.230   tbmax_CfA4_ATEL_2580_MLCS_larger_error                                      
sn2010ai          Ia     194.85000   27.996417      12h59m24.0s   +27d59m47s   59.584208   88.033519    0.018369000    0.001   0.019266149    0.0094   0.0012    0.0293   SDSS_J125925.04+275948.2     Anon                 55276.84   0.13     -999        0.142     0.100   3.08      0.36   0.358    0.074    35.302    0.108   2015-Jun-07_13:29:51_(grid)_good_fit_(0.4183_<_3.0000000)_sn2010ai          
sn2010ag          Ia     255.97346   31.501722      17h03m53.6s   +31d30m06s   53.755094   35.550369    0.033800000    0.001   0.033758641    0.0309   0.0013    0.0957   UGC_10679                    Sb                   55270.23   0.63     -999        0.516     0.115   3.00      0.33   -0.249   0.051    35.884    0.126   2015-Jun-07_06:36:32_(grid)_good_fit_(0.2987_<_3.0000000)_sn2010ag          
snPTF10bjs        Ia     195.29600   53.815972      13h01m11.0s   +53d48m45s   119.73519   63.251887    0.030027000    0.001   0.030550077    0.0176   0.0003    0.0546   MCG_+9-21-83                 Anon                 55256      3        55256       -999      -999    -999      -999   -999     -999     -999      -999    tbmax_ATEL_2453_CfA4_natural_system_only                                    
snPS1-10w         Ia     160.67400   58.843806      10h42m41.2s   +58d50m39s   149.05549   51.252399    0.031255000    0.001   0.031756558    0.0081   0.0009    0.0251   CGCG_290-062                 diffuse              55248.01   0.11     55248.01    -999      -999    -999      -999   -999     -999     -999      -999    tbmax_rest14                                                                
sn2010Y           Ia     162.76646   65.779722      10h51m03.9s   +65d46m47s   140.49772   47.033177    0.010900000    0.001   0.011264606    0.0135   0.0015    0.0419   NGC_3392                     E?                   55247.76   0.14     -999        0.087     0.063   2.99      0.26   0.826    0.063    33.813    0.086   2015-Jun-07_05:53:59_(grid)_good_fit_(0.6435_<_3.0000000)_sn2010Y           
sn2009na          Ia     161.75500   26.543917      10h47m01.4s   +26d32m38s   206.94735   62.310552    0.020994000    0.001   0.022019087    0.0319   0.0018    0.0988   UGC_5884                     SA(s)b?              55201.31   0.28     -999        0.101     0.072   3.10      0.36   0.052    0.060    35.282    0.093   2015-Jun-07_05:18:43_(grid)_good_fit_(0.3083_<_3.0000000)_sn2009na          
