# z mag exptime gotz snrbest snrbest_waverest snrbest_binsize
1.8 24.5 10.0 0 3.2250488717227217 398.8839285714286 10
1.8 24.5 1.0 0 0.9836147445592128 398.66071428571433 7
1.8 24.5 40.0 1 4.921262985860438 398.8839285714286 10
1.8 24.5 5.0 0 2.3821437614048397 398.8839285714286 10
1.8 25.15 10.0 0 1.2293986859436608 389.95535714285717 10
1.8 25.15 1.0 0 0.41685144116339573 389.95535714285717 10
1.8 25.15 40.0 0 1.6958030180418948 389.95535714285717 10
1.8 25.15 5.0 0 0.9516242162744704 389.95535714285717 10
0.8 23.98 10.0 0 2.309266666666667 492.1277777777778 9
0.8 23.98 1.0 0 0.8520333333333333 492.1277777777778 9
0.8 23.98 40.0 0 2.8842 492.1277777777778 9
0.8 23.98 5.0 0 1.8748333333333334 492.1277777777778 9
2.19 24.23 10.0 0 1.6936333333333333 371.00815047021945 9
2.19 24.23 1.0 0 0.5087666666666667 371.00815047021945 9
2.19 24.23 40.0 0 2.5683333333333334 371.00815047021945 9
2.19 24.23 5.0 0 1.2544333333333333 371.00815047021945 9
1.2 24.56 10.0 1 5.208760682254464 369.56 8
1.2 24.56 1.0 0 1.8578170015504754 369.56 8
1.2 24.56 40.0 1 6.571567581635299 369.56 8
1.2 24.56 5.0 1 4.189041993105344 369.56 8
2.19 24.62 10.0 1 4.010115923636124 130.19811912225705 10
2.19 24.62 1.0 0 0.7017410355679651 130.19811912225705 10
2.19 24.62 40.0 1 7.39188727619679 130.19811912225705 10
2.19 24.62 5.0 0 2.5724496309937726 130.19811912225705 10
1.5 24.81 10.0 1 4.549666666666667 411.25 9
1.5 24.81 1.0 0 1.4511333333333332 411.25 9
1.5 24.81 40.0 1 6.6630666666666665 411.25 9
1.5 24.81 5.0 0 3.438566666666667 411.25 9
1.5 24.14 10.0 1 5.280845578598184 503.31239999999997 10
1.5 24.14 1.0 0 1.7425414818591838 503.31239999999997 10
1.5 24.14 40.0 1 7.735120893431464 503.31239999999997 10
1.5 24.14 5.0 1 4.014827717349774 503.31239999999997 10
1.2 23.83 10.0 1 10.302133333333334 503.76409090909084 9
1.2 23.83 1.0 0 3.3830666666666667 503.76409090909084 9
1.2 23.83 40.0 1 14.704966666666666 503.76409090909084 9
1.2 23.83 5.0 1 7.865833333333334 503.76409090909084 9
1.5 25.08 10.0 1 5.078633333333333 492.25 9
1.5 25.08 1.0 0 1.5571333333333335 492.25 9
1.5 25.08 40.0 1 7.6005 492.25 9
1.5 25.08 5.0 0 3.784166666666667 492.25 9
0.8 23.84 10.0 1 41.76413065993353 683.2033333333334 8
0.8 23.84 1.0 1 13.568990222240194 683.2033333333334 8
0.8 23.84 40.0 1 60.74757892707536 683.2033333333334 8
0.8 23.84 5.0 1 31.61244608981168 683.2033333333334 8
1.8 25.44 10.0 0 1.1556 402.3435714285714 9
1.8 25.44 1.0 0 0.3454 402.3435714285714 9
1.8 25.44 40.0 0 1.7584000000000002 402.3435714285714 9
1.8 25.44 5.0 0 0.8545000000000001 402.3435714285714 9
1.2 24.28 10.0 1 9.572846932861717 374.2763636363636 10
1.2 24.28 1.0 0 3.0702870030340814 374.2763636363636 10
1.2 24.28 40.0 1 12.804251982681377 374.2763636363636 10
1.2 24.28 5.0 1 7.429012415927165 374.2763636363636 10
2.19 25.21 10.0 0 2.080462472624777 129.16489028213167 10
2.19 25.21 1.0 0 0.5924210968559442 393.4658307210031 10
2.19 25.21 40.0 0 3.8468159052650286 129.16489028213167 10
2.19 25.21 5.0 0 1.4752341512451506 393.4658307210031 10
0.8 23.33 10.0 1 4.726213699781254 507.715 10
0.8 23.33 1.0 0 1.6874546050190504 507.715 10
0.8 23.33 40.0 1 5.958633333333332 507.89944444444444 9
0.8 23.33 5.0 0 3.802828623012086 507.715 10
